time,T_gasIn.T,T_gasOut.T,T_waterOut.T,T_waterIn.T,T_gasIn.inlet.m_flow,T_waterIn.inlet.m_flow
131,321.542,319.361,305.788,295.307,0.606862,0.083115
131,321.542,319.361,305.788,295.307,0.606862,0.083115
135,321.548,319.366,305.791,295.307,0.606862,0.083115
135,321.548,319.366,305.791,295.307,0.606862,0.083115
136,321.549,319.367,305.791,295.307,0.606862,0.083115
136,321.549,319.367,305.791,295.307,0.606862,0.083115
140,321.554,319.372,305.794,295.307,0.606862,0.083115
140,321.554,319.372,305.794,295.307,0.606862,0.083115
141,321.555,319.373,305.794,295.307,0.606862,0.083115
141,321.555,319.373,305.794,295.307,0.606862,0.083115
145,321.561,319.378,305.796,295.307,0.606862,0.083115
145,321.561,319.378,305.796,295.307,0.606862,0.083115
146,321.562,319.379,305.797,295.307,0.606862,0.083115
146,321.562,319.379,305.797,295.307,0.606862,0.083115
150,321.567,319.383,305.799,295.307,0.606862,0.083115
150,321.567,319.383,305.799,295.307,0.606862,0.083115
151,321.569,319.385,305.8,295.307,0.606862,0.083115
151,321.569,319.385,305.8,295.307,0.606862,0.083115
155,321.574,319.389,305.802,295.307,0.606862,0.083115
155,321.574,319.389,305.802,295.307,0.606862,0.083115
156,321.575,319.39,305.803,295.307,0.606862,0.083115
156,321.575,319.39,305.803,295.307,0.606862,0.083115
160,321.58,319.395,305.805,295.307,0.606862,0.083115
160,321.58,319.395,305.805,295.307,0.606862,0.083115
161,321.582,319.396,305.806,295.307,0.606862,0.083115
161,321.582,319.396,305.806,295.307,0.606862,0.083115
165,321.587,319.401,305.808,295.307,0.606862,0.083115
165,321.587,319.401,305.808,295.307,0.606862,0.083115
166,321.588,319.402,305.809,295.307,0.606862,0.083115
166,321.588,319.402,305.809,295.307,0.606862,0.083115
170,321.593,319.407,305.811,295.307,0.606862,0.083115
170,321.593,319.407,305.811,295.307,0.606862,0.083115
171,321.595,319.408,305.811,295.307,0.606862,0.083115
171,321.595,319.408,305.811,295.307,0.606862,0.083115
175,321.6,319.413,305.814,295.307,0.606862,0.083115
175,321.6,319.413,305.814,295.307,0.606862,0.083115
176,321.601,319.414,305.814,295.307,0.606862,0.083115
176,321.601,319.414,305.814,295.307,0.606862,0.083115
180,321.607,319.419,305.817,295.307,0.606862,0.083115
180,321.607,319.419,305.817,295.307,0.606862,0.083115
181,321.608,319.42,305.817,295.307,0.606862,0.083115
181,321.608,319.42,305.817,295.307,0.606862,0.083115
185,321.613,319.425,305.819,295.307,0.606862,0.083115
185,321.613,319.425,305.819,295.307,0.606862,0.083115
186,321.614,319.426,305.82,295.307,0.606862,0.083115
186,321.614,319.426,305.82,295.307,0.606862,0.083115
190,321.62,319.43,305.822,295.307,0.606862,0.083115
190,321.62,319.43,305.822,295.307,0.606862,0.083115
191,321.621,319.432,305.823,295.307,0.606862,0.083115
191,321.621,319.432,305.823,295.307,0.606862,0.083115
195,321.626,319.436,305.825,295.307,0.606862,0.083115
195,321.626,319.436,305.825,295.307,0.606862,0.083115
196,321.628,319.437,305.826,295.307,0.606862,0.083115
196,321.628,319.437,305.826,295.307,0.606862,0.083115
200,321.633,319.442,305.828,295.307,0.606862,0.083115
200,321.633,319.442,305.828,295.307,0.606862,0.083115
201,321.634,319.443,305.829,295.307,0.606862,0.083115
201,321.634,319.443,305.829,295.307,0.606862,0.083115
205,321.639,319.448,305.831,295.307,0.606862,0.083115
205,321.639,319.448,305.831,295.307,0.606862,0.083115
206,321.641,319.449,305.832,295.307,0.606862,0.083115
206,321.641,319.449,305.832,295.307,0.606862,0.083115
210,321.646,319.454,305.834,295.307,0.606862,0.083115
210,321.646,319.454,305.834,295.307,0.606862,0.083115
211,321.647,319.455,305.834,295.307,0.606862,0.083115
211,321.647,319.455,305.834,295.307,0.606862,0.083115
215,321.652,319.46,305.837,295.307,0.606862,0.083115
215,321.652,319.46,305.837,295.307,0.606862,0.083115
216,321.654,319.461,305.837,295.307,0.606862,0.083115
216,321.654,319.461,305.837,295.307,0.606862,0.083115
220,321.659,319.466,305.84,295.307,0.606862,0.083115
220,321.659,319.466,305.84,295.307,0.606862,0.083115
221,321.66,319.467,305.84,295.307,0.606862,0.083115
