time_mock,HotOil_Evap_in_T,HotOil_Mdot
61,48.3006,0.606862
61.2,48.3008,0.606862
61.2,48.3008,0.606862
62,48.3019,0.606862
62,48.3019,0.606862
62.2,48.3021,0.606862
62.2,48.3021,0.606862
63,48.3032,0.606862
63,48.3032,0.606862
63.2,48.3034,0.606862
63.2,48.3034,0.606862
64,48.3045,0.606862
64,48.3045,0.606862
64.2,48.3047,0.606862
64.2,48.3047,0.606862
65,48.3058,0.606862
65,48.3058,0.606862
65.2,48.3061,0.606862
65.2,48.3061,0.606862
66,48.3071,0.606862
66,48.3071,0.606862
66.2,48.3074,0.606862
66.2,48.3074,0.606862
67,48.3084,0.606862
67,48.3084,0.606862
67.2,48.3087,0.606862
67.2,48.3087,0.606862
68,48.3097,0.606862
68,48.3097,0.606862
68.2,48.31,0.606862
68.2,48.31,0.606862
69,48.311,0.606862
69,48.311,0.606862
69.2,48.3113,0.606862
69.2,48.3113,0.606862
70,48.3124,0.606862
70,48.3124,0.606862
70.2,48.3126,0.606862
70.2,48.3126,0.606862
71,48.3137,0.606862
71,48.3137,0.606862
71.2,48.3139,0.606862
71.2,48.3139,0.606862
72,48.315,0.606862
72,48.315,0.606862
72.2,48.3152,0.606862
72.2,48.3152,0.606862
73,48.3163,0.606862
73,48.3163,0.606862
73.2,48.3165,0.606862
73.2,48.3165,0.606862
74,48.3176,0.606862
74,48.3176,0.606862
74.2,48.3179,0.606862
74.2,48.3179,0.606862
75,48.3189,0.606862
75,48.3189,0.606862
75.2,48.3192,0.606862
75.2,48.3192,0.606862
76,48.3202,0.606862
76,48.3202,0.606862
76.2,48.3205,0.606862
76.2,48.3205,0.606862
77,48.3215,0.606862
77,48.3215,0.606862
77.2,48.3218,0.606862
77.2,48.3218,0.606862
78,48.3228,0.606862
78,48.3228,0.606862
78.2,48.3231,0.606862
78.2,48.3231,0.606862
79,48.3242,0.606862
79,48.3242,0.606862
79.2,48.3244,0.606862
79.2,48.3244,0.606862
80,48.3255,0.606862
80,48.3255,0.606862
80.2,48.3257,0.606862
80.2,48.3257,0.606862
81,48.3268,0.606862
81,48.3268,0.606862
81.2,48.327,0.606862
81.2,48.327,0.606862
82,48.3281,0.606862
82,48.3281,0.606862
82.2,48.3283,0.606862
82.2,48.3283,0.606862
83,48.3294,0.606862
83,48.3294,0.606862
83.2,48.3297,0.606862
83.2,48.3297,0.606862
84,48.3307,0.606862
84,48.3307,0.606862
84.2,48.331,0.606862
84.2,48.331,0.606862
85,48.332,0.606862
85,48.332,0.606862
85.2,48.3323,0.606862
85.2,48.3323,0.606862
86,48.3333,0.606862
86,48.3333,0.606862
86.2,48.3336,0.606862
86.2,48.3336,0.606862
87,48.3346,0.606862
87,48.3346,0.606862
87.2,48.3349,0.606862
87.2,48.3349,0.606862
88,48.336,0.606862
88,48.336,0.606862
88.2,48.3362,0.606862
88.2,48.3362,0.606862
89,48.3373,0.606862
89,48.3373,0.606862
89.2,48.3375,0.606862
89.2,48.3375,0.606862
90,48.3386,0.606862
90,48.3386,0.606862
90.2,48.3388,0.606862
90.2,48.3388,0.606862
91,48.3399,0.606862
91,48.3399,0.606862
91.2,48.3401,0.606862
91.2,48.3401,0.606862
92,48.3412,0.606862
92,48.3412,0.606862
92.2,48.3415,0.606862
92.2,48.3415,0.606862
93,48.3425,0.606862
93,48.3425,0.606862
93.2,48.3428,0.606862
93.2,48.3428,0.606862
94,48.3438,0.606862
94,48.3438,0.606862
94.2,48.3441,0.606862
94.2,48.3441,0.606862
95,48.3451,0.606862
95,48.3451,0.606862
95.2,48.3454,0.606862
95.2,48.3454,0.606862
96,48.3464,0.606862
96,48.3464,0.606862
96.2,48.3467,0.606862
96.2,48.3467,0.606862
97,48.3478,0.606862
97,48.3478,0.606862
97.2,48.348,0.606862
97.2,48.348,0.606862
98,48.3491,0.606862
98,48.3491,0.606862
98.2,48.3493,0.606862
98.2,48.3493,0.606862
99,48.3504,0.606862
99,48.3504,0.606862
99.2,48.3506,0.606862
99.2,48.3506,0.606862
100,48.3517,0.606862
100,48.3517,0.606862
100.2,48.3519,0.606862
100.2,48.3519,0.606862
101,48.353,0.606862
101,48.353,0.606862
101.2,48.3533,0.606862
101.2,48.3533,0.606862
102,48.3543,0.606862
102,48.3543,0.606862
102.2,48.3546,0.606862
102.2,48.3546,0.606862
103,48.3556,0.606862
103,48.3556,0.606862
103.2,48.3559,0.606862
103.2,48.3559,0.606862
104,48.3569,0.606862
104,48.3569,0.606862
104.2,48.3572,0.606862
104.2,48.3572,0.606862
105,48.3582,0.606862
105,48.3582,0.606862
105.2,48.3585,0.606862
105.2,48.3585,0.606862
106,48.3596,0.606862
106,48.3596,0.606862
106.2,48.3598,0.606862
106.2,48.3598,0.606862
107,48.3609,0.606862
107,48.3609,0.606862
107.2,48.3611,0.606862
107.2,48.3611,0.606862
108,48.3622,0.606862
108,48.3622,0.606862
108.2,48.3624,0.606862
108.2,48.3624,0.606862
109,48.3635,0.606862
109,48.3635,0.606862
109.2,48.3637,0.606862
109.2,48.3637,0.606862
110,48.3648,0.606862
110,48.3648,0.606862
110.2,48.3651,0.606862
110.2,48.3651,0.606862
111,48.3661,0.606862
111,48.3661,0.606862
111.2,48.3664,0.606862
111.2,48.3664,0.606862
112,48.3674,0.606862
112,48.3674,0.606862
112.2,48.3677,0.606862
112.2,48.3677,0.606862
113,48.3687,0.606862
113,48.3687,0.606862
113.2,48.369,0.606862
113.2,48.369,0.606862
114,48.37,0.606862
114,48.37,0.606862
114.2,48.3703,0.606862
114.2,48.3703,0.606862
115,48.3714,0.606862
115,48.3714,0.606862
115.2,48.3716,0.606862
115.2,48.3716,0.606862
116,48.3727,0.606862
116,48.3727,0.606862
116.2,48.3729,0.606862
116.2,48.3729,0.606862
117,48.374,0.606862
117,48.374,0.606862
117.2,48.3742,0.606862
117.2,48.3742,0.606862
118,48.3753,0.606862
118,48.3753,0.606862
118.2,48.3755,0.606862
118.2,48.3755,0.606862
119,48.3766,0.606862
119,48.3766,0.606862
119.2,48.3769,0.606862
119.2,48.3769,0.606862
120,48.3779,0.606862
120,48.3779,0.606862
120.2,48.3782,0.606862
120.2,48.3782,0.606862
121,48.3792,0.606862
121,48.3792,0.606862
121.2,48.3795,0.606862
121.2,48.3795,0.606862
122,48.3805,0.606862
122,48.3805,0.606862
122.2,48.3808,0.606862
