time,T_motor
0.283018868,84.61538462
2.547169811,85.71428571
20.09433962,84.61538462
23.20754717,124.7252747
26.88679245,98.9010989
29.1509434,100
90,94.50549451
93.96226415,35.16483516
98.49056604,72.52747253
101.3207547,69.23076923
159.9056604,71.97802198
163.3018868,109.3406593
167.2641509,85.71428571
171.2264151,86.81318681
229.8113208,84.61538462
233.7735849,135.7142857
237.4528302,107.6923077
241.4150943,108.7912088
243.9622642,100
246.7924528,106.043956
250.4716981,102.7472527
299.7169811,100.5494505
