time,T_gasOut.T,T_waterOut.T,T_gasIn.T,T_waterIn.T,T_waterIn.inlet.m_flow,T_waterOut.inlet.m_flow,T_gasOut.inlet.m_flow,T_gasIn.inlet.m_flow
85,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
85,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
86,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
86,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
90,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
90,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
91,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
91,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
95,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
95,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
96,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
96,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
100,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
100,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
101,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
101,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
105,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
105,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
106,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
106,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
110,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
110,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
111,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
111,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
115,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
115,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
116,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
116,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
120,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
120,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
121,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
121,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
125,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
125,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
126,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
126,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
130,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
130,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
131,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
131,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
135,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
135,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
136,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
136,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
140,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
140,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
141,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
141,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
145,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
145,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
146,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
146,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
150,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
150,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
151,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
151,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
155,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
155,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
156,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
156,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
160,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
160,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
161,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
161,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
165,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
165,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
166,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
166,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
170,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
170,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
171,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
171,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
175,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
175,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
176,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
176,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
180,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
180,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
181,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
181,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
185,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
185,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
186,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
186,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
190,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
190,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
191,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
191,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
