time,T_gasIn.T,T_gasOut.T,T_waterIn.T,T_waterOut.T
34,0.606862,0.606862,0.606862,0.606862
34,0.606862,0.606862,0.606862,0.606862
34.2,0.606862,0.606862,0.606862,0.606862
34.2,0.606862,0.606862,0.606862,0.606862
35,0.606862,0.606862,0.606862,0.606862
35,0.606862,0.606862,0.606862,0.606862
35.2,0.606862,0.606862,0.606862,0.606862
35.2,0.606862,0.606862,0.606862,0.606862
36,0.606862,0.606862,0.606862,0.606862
36,0.606862,0.606862,0.606862,0.606862
36.2,0.606862,0.606862,0.606862,0.606862
36.2,0.606862,0.606862,0.606862,0.606862
37,0.606862,0.606862,0.606862,0.606862
37,0.606862,0.606862,0.606862,0.606862
37.2,0.606862,0.606862,0.606862,0.606862
37.2,0.606862,0.606862,0.606862,0.606862
38,0.606862,0.606862,0.606862,0.606862
38,0.606862,0.606862,0.606862,0.606862
38.2,0.606862,0.606862,0.606862,0.606862
38.2,0.606862,0.606862,0.606862,0.606862
39,0.606862,0.606862,0.606862,0.606862
39,0.606862,0.606862,0.606862,0.606862
39.2,0.606862,0.606862,0.606862,0.606862
39.2,0.606862,0.606862,0.606862,0.606862
40,0.606862,0.606862,0.606862,0.606862
40,0.606862,0.606862,0.606862,0.606862
40.2,0.606862,0.606862,0.606862,0.606862
40.2,0.606862,0.606862,0.606862,0.606862
41,0.606862,0.606862,0.606862,0.606862
41,0.606862,0.606862,0.606862,0.606862
41.2,0.606862,0.606862,0.606862,0.606862
41.2,0.606862,0.606862,0.606862,0.606862
42,0.606862,0.606862,0.606862,0.606862
42,0.606862,0.606862,0.606862,0.606862
42.2,0.606862,0.606862,0.606862,0.606862
42.2,0.606862,0.606862,0.606862,0.606862
43,0.606862,0.606862,0.606862,0.606862
43,0.606862,0.606862,0.606862,0.606862
43.2,0.606862,0.606862,0.606862,0.606862
43.2,0.606862,0.606862,0.606862,0.606862
44,0.606862,0.606862,0.606862,0.606862
44,0.606862,0.606862,0.606862,0.606862
44.2,0.606862,0.606862,0.606862,0.606862
44.2,0.606862,0.606862,0.606862,0.606862
45,0.606862,0.606862,0.606862,0.606862
45,0.606862,0.606862,0.606862,0.606862
45.2,0.606862,0.606862,0.606862,0.606862
45.2,0.606862,0.606862,0.606862,0.606862
46,0.606862,0.606862,0.606862,0.606862
46,0.606862,0.606862,0.606862,0.606862
46.2,0.606862,0.606862,0.606862,0.606862
46.2,0.606862,0.606862,0.606862,0.606862
47,0.606862,0.606862,0.606862,0.606862
47,0.606862,0.606862,0.606862,0.606862
47.2,0.606862,0.606862,0.606862,0.606862
47.2,0.606862,0.606862,0.606862,0.606862
48,0.606862,0.606862,0.606862,0.606862
48,0.606862,0.606862,0.606862,0.606862
48.2,0.606862,0.606862,0.606862,0.606862
48.2,0.606862,0.606862,0.606862,0.606862
49,0.606862,0.606862,0.606862,0.606862
49,0.606862,0.606862,0.606862,0.606862
49.2,0.606862,0.606862,0.606862,0.606862
49.2,0.606862,0.606862,0.606862,0.606862
