time,T_gasIn.T,T_waterOut.T,T_gasOut.T,T_waterIn.T,T_gasIn.inlet.m_flow,T_waterIn.inlet.m_flow
135,376.373,359.571,370.344,302.06,1.21894,0.08543
135,376.373,359.571,370.344,302.06,1.21894,0.08543
136,376.373,359.571,370.344,302.06,1.21894,0.08543
136,376.373,359.571,370.344,302.06,1.21894,0.08543
140,376.373,359.571,370.344,302.06,1.21894,0.08543
140,376.373,359.571,370.344,302.06,1.21894,0.08543
141,376.373,359.571,370.344,302.06,1.21894,0.08543
141,376.373,359.571,370.344,302.06,1.21894,0.08543
145,376.373,359.571,370.344,302.06,1.21894,0.08543
145,376.373,359.571,370.344,302.06,1.21894,0.08543
146,376.373,359.571,370.344,302.06,1.21894,0.08543
146,376.373,359.571,370.344,302.06,1.21894,0.08543
150,376.373,359.571,370.344,302.06,1.21894,0.08543
150,376.373,359.571,370.344,302.06,1.21894,0.08543
151,376.373,359.571,370.344,302.06,1.21894,0.08543
151,376.373,359.571,370.344,302.06,1.21894,0.08543
155,376.373,359.571,370.344,302.06,1.21894,0.08543
155,376.373,359.571,370.344,302.06,1.21894,0.08543
156,376.373,359.571,370.344,302.06,1.21894,0.08543
156,376.373,359.571,370.344,302.06,1.21894,0.08543
160,376.373,359.571,370.344,302.06,1.21894,0.08543
160,376.373,359.571,370.344,302.06,1.21894,0.08543
161,376.373,359.571,370.344,302.06,1.21894,0.08543
161,376.373,359.571,370.344,302.06,1.21894,0.08543
165,376.373,359.571,370.344,302.06,1.21894,0.08543
165,376.373,359.571,370.344,302.06,1.21894,0.08543
166,376.373,359.571,370.344,302.06,1.21894,0.08543
166,376.373,359.571,370.344,302.06,1.21894,0.08543
170,376.373,359.571,370.344,302.06,1.21894,0.08543
170,376.373,359.571,370.344,302.06,1.21894,0.08543
171,376.373,359.571,370.344,302.06,1.21894,0.08543
171,376.373,359.571,370.344,302.06,1.21894,0.08543
175,376.373,359.571,370.344,302.06,1.21894,0.08543
175,376.373,359.571,370.344,302.06,1.21894,0.08543
176,376.373,359.571,370.344,302.06,1.21894,0.08543
176,376.373,359.571,370.344,302.06,1.21894,0.08543
180,376.373,359.571,370.344,302.06,1.21894,0.08543
180,376.373,359.571,370.344,302.06,1.21894,0.08543
181,376.373,359.571,370.344,302.06,1.21894,0.08543
181,376.373,359.571,370.344,302.06,1.21894,0.08543
185,376.373,359.571,370.344,302.06,1.21894,0.08543
185,376.373,359.571,370.344,302.06,1.21894,0.08543
186,376.373,359.571,370.344,302.06,1.21894,0.08543
186,376.373,359.571,370.344,302.06,1.21894,0.08543
190,376.373,359.571,370.344,302.06,1.21894,0.08543
190,376.373,359.571,370.344,302.06,1.21894,0.08543
191,376.373,359.571,370.344,302.06,1.21894,0.08543
191,376.373,359.571,370.344,302.06,1.21894,0.08543
195,376.373,359.571,370.344,302.06,1.21894,0.08543
195,376.373,359.571,370.344,302.06,1.21894,0.08543
196,376.373,359.571,370.344,302.06,1.21894,0.08543
196,376.373,359.571,370.344,302.06,1.21894,0.08543
200,376.373,359.571,370.344,302.06,1.21894,0.08543
200,376.373,359.571,370.344,302.06,1.21894,0.08543
201,376.373,359.571,370.344,302.06,1.21894,0.08543
201,376.373,359.571,370.344,302.06,1.21894,0.08543
205,376.373,359.571,370.344,302.06,1.21894,0.08543
205,376.373,359.571,370.344,302.06,1.21894,0.08543
206,376.373,359.571,370.344,302.06,1.21894,0.08543
206,376.373,359.571,370.344,302.06,1.21894,0.08543
210,376.373,359.571,370.344,302.06,1.21894,0.08543
210,376.373,359.571,370.344,302.06,1.21894,0.08543
211,376.373,359.571,370.344,302.06,1.21894,0.08543
211,376.373,359.571,370.344,302.06,1.21894,0.08543
215,376.373,359.571,370.344,302.06,1.21894,0.08543
215,376.373,359.571,370.344,302.06,1.21894,0.08543
216,376.373,359.571,370.344,302.06,1.21894,0.08543
216,376.373,359.571,370.344,302.06,1.21894,0.08543
220,376.373,359.571,370.344,302.06,1.21894,0.08543
220,376.373,359.571,370.344,302.06,1.21894,0.08543
220,376.373,359.571,370.344,302.06,1.21894,0.08543
220,376.373,359.571,370.344,302.06,0,0.08543
221,376.373,343.073,370.344,302.06,0,0.08543
221,376.373,343.073,370.344,302.06,0,0.08543
225,376.373,310.613,370.344,302.06,0,0.08543
225,376.373,310.613,370.344,302.06,0,0.08543
226,376.373,307.679,370.344,302.06,0,0.08543
226,376.373,307.679,370.344,302.06,0,0.08543
227.509,376.373,304.67,370.344,302.06,0,0.08543
227.509,376.373,304.67,370.344,302.06,0,0.08543
230,376.373,302.647,370.344,302.06,0,0.08543
230,376.373,302.647,370.344,302.06,0,0.08543
230.47,376.373,302.501,370.344,302.06,0,0.08543
230.47,376.373,302.501,370.344,302.06,0,0.08543
231,376.373,302.379,370.344,302.06,0,0.08543
231,376.373,302.379,370.344,302.06,0,0.08543
232.251,376.373,302.204,370.344,302.06,0,0.08543
232.251,376.373,302.204,370.344,302.06,0,0.08543
233.677,376.373,302.118,370.344,302.06,0,0.08543
233.677,376.373,302.118,370.344,302.06,0,0.08543
234.932,376.373,302.086,370.344,302.06,0,0.08543
234.932,376.373,302.086,370.344,302.06,0,0.08543
235,376.373,302.085,370.344,302.06,0,0.08543
235,376.373,302.085,370.344,302.06,0,0.08543
236,376.373,302.073,370.344,302.06,0,0.08543
236,376.373,302.073,370.344,302.06,0,0.08543
236.084,376.373,302.073,370.344,302.06,0,0.08543
236.084,376.373,302.073,370.344,302.06,0,0.08543
237.153,376.373,302.067,370.344,302.06,0,0.08543
237.153,376.373,302.067,370.344,302.06,0,0.08543
238.16,376.373,302.064,370.344,302.06,0,0.08543
238.16,376.373,302.064,370.344,302.06,0,0.08543
239.124,376.373,302.062,370.344,302.06,0,0.08543
239.124,376.373,302.062,370.344,302.06,0,0.08543
240,376.373,302.061,370.344,302.06,0,0.08543
240,376.373,302.061,370.344,302.06,0,0.08543
240.052,376.373,302.061,370.344,302.06,0,0.08543
240.052,376.373,302.061,370.344,302.06,0,0.08543
241,376.373,302.061,370.344,302.06,0,0.08543
241,376.373,302.061,370.344,302.06,0,0.08543
245,376.373,302.06,370.344,302.06,0,0.08543
245,376.373,302.06,370.344,302.06,0,0.08543
246,376.373,302.06,370.344,302.06,0,0.08543
246,376.373,302.06,370.344,302.06,0,0.08543
250,376.373,302.06,370.344,302.06,0,0.08543
250,376.373,302.06,370.344,302.06,0,0.08543
250.33,376.373,302.06,370.344,302.06,0,0.08543
250.33,376.373,302.06,370.344,302.06,0,0.08543
251,376.373,302.06,370.344,302.06,0,0.08543
251,376.373,302.06,370.344,302.06,0,0.08543
255,376.373,302.06,370.344,302.06,0,0.08543
255,376.373,302.06,370.344,302.06,0,0.08543
256,376.373,302.06,370.344,302.06,0,0.08543
256,376.373,302.06,370.344,302.06,0,0.08543
260,376.373,302.06,370.344,302.06,0,0.08543
260,376.373,302.06,370.344,302.06,0,0.08543
261,376.373,302.06,370.344,302.06,0,0.08543
261,376.373,302.06,370.344,302.06,0,0.08543
265,376.373,302.06,370.344,302.06,0,0.08543
265,376.373,302.06,370.344,302.06,0,0.08543
266,376.373,302.06,370.344,302.06,0,0.08543
266,376.373,302.06,370.344,302.06,0,0.08543
270,376.373,302.06,370.344,302.06,0,0.08543
270,376.373,302.06,370.344,302.06,0,0.08543
271,376.373,302.06,370.344,302.06,0,0.08543
271,376.373,302.06,370.344,302.06,0,0.08543
275,376.373,302.06,370.344,302.06,0,0.08543
275,376.373,302.06,370.344,302.06,0,0.08543
276,376.373,302.06,370.344,302.06,0,0.08543
276,376.373,302.06,370.344,302.06,0,0.08543
280,376.373,302.06,370.344,302.06,0,0.08543
280,376.373,302.06,370.344,302.06,0,0.08543
281,376.373,302.06,370.344,302.06,0,0.08543
281,376.373,302.06,370.344,302.06,0,0.08543
285,376.373,302.06,370.344,302.06,0,0.08543
285,376.373,302.06,370.344,302.06,0,0.08543
286,376.373,302.06,370.344,302.06,0,0.08543
286,376.373,302.06,370.344,302.06,0,0.08543
290,376.373,302.06,370.344,302.06,0,0.08543
290,376.373,302.06,370.344,302.06,0,0.08543
291,376.373,302.06,370.344,302.06,0,0.08543
291,376.373,302.06,370.344,302.06,0,0.08543
295,376.373,302.06,370.344,302.06,0,0.08543
295,376.373,302.06,370.344,302.06,0,0.08543
296,376.373,302.06,370.344,302.06,0,0.08543
296,376.373,302.06,370.344,302.06,0,0.08543
300,376.373,302.06,370.344,302.06,0,0.08543
300,376.373,302.06,370.344,302.06,0,0.08543
