time,T_gasIn.T,T_waterOut.T,T_gasOut.T,T_waterIn.T,T_gasIn.inlet.m_flow,T_waterIn.inlet.m_flow
571,376.373,359.571,370.344,302.06,1.21894,0.08543
575,376.373,359.571,370.344,302.06,1.21894,0.08543
575,376.373,359.571,370.344,302.06,1.21894,0.08543
576,376.373,359.571,370.344,302.06,1.21894,0.08543
576,376.373,359.571,370.344,302.06,1.21894,0.08543
580,376.373,359.571,370.344,302.06,1.21894,0.08543
580,376.373,359.571,370.344,302.06,1.21894,0.08543
581,376.373,359.571,370.344,302.06,1.21894,0.08543
581,376.373,359.571,370.344,302.06,1.21894,0.08543
585,376.373,359.571,370.344,302.06,1.21894,0.08543
585,376.373,359.571,370.344,302.06,1.21894,0.08543
586,376.373,359.571,370.344,302.06,1.21894,0.08543
586,376.373,359.571,370.344,302.06,1.21894,0.08543
590,376.373,359.571,370.344,302.06,1.21894,0.08543
590,376.373,359.571,370.344,302.06,1.21894,0.08543
591,376.373,359.571,370.344,302.06,1.21894,0.08543
591,376.373,359.571,370.344,302.06,1.21894,0.08543
595,376.373,359.571,370.344,302.06,1.21894,0.08543
595,376.373,359.571,370.344,302.06,1.21894,0.08543
596,376.373,359.571,370.344,302.06,1.21894,0.08543
596,376.373,359.571,370.344,302.06,1.21894,0.08543
600,376.373,359.571,370.344,302.06,1.21894,0.08543
600,376.373,359.571,370.344,302.06,1.21894,0.08543
600,376.373,359.571,370.344,302.06,1.21894,0.08543
