time,T_gasIn.T,T_gasOut.T,T_waterOut.T,T_waterIn.T,T_gasIn.inlet.m_flow,T_waterIn.inlet.m_flow
290,376.373,319.136,367.918,302.06,0,0.08543
290,376.373,319.136,367.918,302.06,0,0.08543
291,376.373,318.813,367.721,302.06,0,0.08543
291,376.373,318.813,367.721,302.06,0,0.08543
295,376.373,317.582,366.909,302.06,0,0.08543
295,376.373,317.582,366.909,302.06,0,0.08543
296,376.373,317.288,366.699,302.06,0,0.08543
296,376.373,317.288,366.699,302.06,0,0.08543
300,376.373,316.17,365.835,302.06,0,0.08543
300,376.373,316.17,365.835,302.06,0,0.08543
301,376.373,315.904,365.612,302.06,0,0.08543
301,376.373,315.904,365.612,302.06,0,0.08543
305,376.373,314.888,364.696,302.06,0,0.08543
305,376.373,314.888,364.696,302.06,0,0.08543
306,376.373,314.646,364.461,302.06,0,0.08543
306,376.373,314.646,364.461,302.06,0,0.08543
310,376.373,313.723,363.496,302.06,0,0.08543
310,376.373,313.723,363.496,302.06,0,0.08543
311,376.373,313.504,363.248,302.06,0,0.08543
311,376.373,313.504,363.248,302.06,0,0.08543
315,376.373,312.665,362.233,302.06,0,0.08543
315,376.373,312.665,362.233,302.06,0,0.08543
316,376.373,312.465,361.974,302.06,0,0.08543
316,376.373,312.465,361.974,302.06,0,0.08543
320,376.373,311.703,360.913,302.06,0,0.08543
320,376.373,311.703,360.913,302.06,0,0.08543
321,376.373,311.521,360.642,302.06,0,0.08543
321,376.373,311.521,360.642,302.06,0,0.08543
325,376.373,310.828,359.539,302.06,0,0.08543
325,376.373,310.828,359.539,302.06,0,0.08543
326,376.373,310.663,359.257,302.06,0,0.08543
326,376.373,310.663,359.257,302.06,0,0.08543
330,376.373,310.033,358.114,302.06,0,0.08543
330,376.373,310.033,358.114,302.06,0,0.08543
331,376.373,309.883,357.824,302.06,0,0.08543
331,376.373,309.883,357.824,302.06,0,0.08543
335,376.373,309.311,356.644,302.06,0,0.08543
335,376.373,309.311,356.644,302.06,0,0.08543
336,376.373,309.174,356.346,302.06,0,0.08543
336,376.373,309.174,356.346,302.06,0,0.08543
340,376.373,308.654,355.136,302.06,0,0.08543
340,376.373,308.654,355.136,302.06,0,0.08543
341,376.373,308.53,354.83,302.06,0,0.08543
341,376.373,308.53,354.83,302.06,0,0.08543
345,376.373,308.056,353.596,302.06,0,0.08543
345,376.373,308.056,353.596,302.06,0,0.08543
346,376.373,307.943,353.285,302.06,0,0.08543
346,376.373,307.943,353.285,302.06,0,0.08543
350,376.373,307.513,352.032,302.06,0,0.08543
350,376.373,307.513,352.032,302.06,0,0.08543
351,376.373,307.411,351.717,302.06,0,0.08543
351,376.373,307.411,351.717,302.06,0,0.08543
355,376.373,307.019,350.452,302.06,0,0.08543
355,376.373,307.019,350.452,302.06,0,0.08543
356,376.373,306.926,350.135,302.06,0,0.08543
356,376.373,306.926,350.135,302.06,0,0.08543
360,376.373,306.57,348.866,302.06,0,0.08543
360,376.373,306.57,348.866,302.06,0,0.08543
361,376.373,306.485,348.549,302.06,0,0.08543
361,376.373,306.485,348.549,302.06,0,0.08543
365,376.373,306.162,347.282,302.06,0,0.08543
365,376.373,306.162,347.282,302.06,0,0.08543
366,376.373,306.085,346.967,302.06,0,0.08543
366,376.373,306.085,346.967,302.06,0,0.08543
370,376.373,305.79,345.712,302.06,0,0.08543
370,376.373,305.79,345.712,302.06,0,0.08543
371,376.373,305.72,345.4,302.06,0,0.08543
371,376.373,305.72,345.4,302.06,0,0.08543
375,376.373,305.453,344.162,302.06,0,0.08543
375,376.373,305.453,344.162,302.06,0,0.08543
376,376.373,305.389,343.856,302.06,0,0.08543
376,376.373,305.389,343.856,302.06,0,0.08543
380,376.373,305.145,342.644,302.06,0,0.08543
380,376.373,305.145,342.644,302.06,0,0.08543
381,376.373,305.087,342.344,302.06,0,0.08543
381,376.373,305.087,342.344,302.06,0,0.08543
385,376.373,304.866,341.164,302.06,0,0.08543
385,376.373,304.866,341.164,302.06,0,0.08543
386,376.373,304.813,340.874,302.06,0,0.08543
386,376.373,304.813,340.874,302.06,0,0.08543
390,376.373,304.612,339.732,302.06,0,0.08543
390,376.373,304.612,339.732,302.06,0,0.08543
391,376.373,304.564,339.452,302.06,0,0.08543
391,376.373,304.564,339.452,302.06,0,0.08543
395,376.373,304.381,338.353,302.06,0,0.08543
395,376.373,304.381,338.353,302.06,0,0.08543
396,376.373,304.338,338.083,302.06,0,0.08543
396,376.373,304.338,338.083,302.06,0,0.08543
400,376.373,304.171,337.03,302.06,0,0.08543
400,376.373,304.171,337.03,302.06,0,0.08543
401,376.373,304.132,336.772,302.06,0,0.08543
401,376.373,304.132,336.772,302.06,0,0.08543
405,376.373,303.98,335.765,302.06,0,0.08543
405,376.373,303.98,335.765,302.06,0,0.08543
406,376.373,303.944,335.52,302.06,0,0.08543
406,376.373,303.944,335.52,302.06,0,0.08543
410,376.373,303.806,334.56,302.06,0,0.08543
410,376.373,303.806,334.56,302.06,0,0.08543
411,376.373,303.774,334.326,302.06,0,0.08543
411,376.373,303.774,334.326,302.06,0,0.08543
415,376.373,303.648,333.413,302.06,0,0.08543
415,376.373,303.648,333.413,302.06,0,0.08543
416,376.373,303.619,333.19,302.06,0,0.08543
416,376.373,303.619,333.19,302.06,0,0.08543
420,376.373,303.505,332.321,302.06,0,0.08543
420,376.373,303.505,332.321,302.06,0,0.08543
421,376.373,303.478,332.108,302.06,0,0.08543
421,376.373,303.478,332.108,302.06,0,0.08543
425,376.373,303.374,331.279,302.06,0,0.08543
425,376.373,303.374,331.279,302.06,0,0.08543
426,376.373,303.349,331.077,302.06,0,0.08543
426,376.373,303.349,331.077,302.06,0,0.08543
430,376.373,303.255,330.286,302.06,0,0.08543
430,376.373,303.255,330.286,302.06,0,0.08543
431,376.373,303.233,330.092,302.06,0,0.08543
431,376.373,303.233,330.092,302.06,0,0.08543
435,376.373,303.147,329.336,302.06,0,0.08543
435,376.373,303.147,329.336,302.06,0,0.08543
436,376.373,303.127,329.151,302.06,0,0.08543
436,376.373,303.127,329.151,302.06,0,0.08543
440,376.373,303.049,328.427,302.06,0,0.08543
440,376.373,303.049,328.427,302.06,0,0.08543
441,376.373,303.03,328.25,302.06,0,0.08543
441,376.373,303.03,328.25,302.06,0,0.08543
445,376.373,302.959,327.555,302.06,0,0.08543
445,376.373,302.959,327.555,302.06,0,0.08543
446,376.373,302.943,327.385,302.06,0,0.08543
446,376.373,302.943,327.385,302.06,0,0.08543
450,376.373,302.878,326.718,302.06,0,0.08543
450,376.373,302.878,326.718,302.06,0,0.08543
451,376.373,302.863,326.554,302.06,0,0.08543
451,376.373,302.863,326.554,302.06,0,0.08543
455,376.373,302.804,325.911,302.06,0,0.08543
455,376.373,302.804,325.911,302.06,0,0.08543
